Transaction date;Operation;Amount;Category
20.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi;-5.0;Транспорт - Такси
19.02.2022 13:42:16;Retail BLR MINSK MOBILE BANK;-10.0;Денежные переводы
19.02.2022 10:21:32;ATM BLR VITEBSK ATM 259 VITEBSKIE PROD;-110.0;Снятие наличных
18.02.2022 17:36:39;Retail BLR MINSK MOBILE BANK;-10.0;Денежные переводы
18.02.2022 00:00:00;"Retail BLR MINSK RBO ""BURGER KING""";-11.6;Ресторация / бары / кафе
18.02.2022 00:00:00;"Retail BLR MINSK PAV.N 11 TPK ""NOVY VEK""";-8.06;Ресторация / бары / кафе
18.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi;-6.4;Транспорт - Такси
17.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.3;Транспорт - Такси
17.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi;-10.6;Транспорт - Такси
17.02.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB;-3.0;Магазины продуктовые
17.02.2022 00:00:00;Retail BLR Minsk NUDLS Terassa;-42.0;Ресторация / бары / кафе
16.02.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-38.24;Магазины продуктовые
14.02.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-32.08;Транспорт - ЖД билеты
14.02.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-40.62;Магазины продуктовые
13.02.2022 00:00:00;Retail BLR Minsk Magazin Rozy.Bel;-35.68;Магазины цветов
12.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi;-5.3;Транспорт - Такси
12.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.5;Транспорт - Такси
12.02.2022 00:00:00;"Retail BLR MINSK SHOP ""EVROOPT""";-10.9;Магазины продуктовые
11.02.2022 00:00:00;Retail BLR INTERNET DELIVIO-DABRABYT;-41.25;Ресторация / бары / кафе
11.02.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-0.8;Транспортировка
10.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi;-7.8;Транспорт - Такси
10.02.2022 00:00:00;Retail BLR MINSK PT BELFARMATSIYA APTEKA N;-4.29;Аптеки
10.02.2022 00:00:00;"Retail BLR MINSK OOO ""RADI BUDUSCHEGO""";-401.0;Медицинский сервис
09.02.2022 00:00:00;Retail BLR INTERNET DELIVIO-DABRABYT;-39.22;Ресторация / бары / кафе
08.02.2022 20:23:01;Retail BLR Minsk BurgerLab;-35.5;Ресторация / бары / кафе
08.02.2022 16:39:25;CH Debit BLR MINSK P2P SDBO NO FEE;-500.0;Переводы с карты на карту
08.02.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-2.4;Транспортировка
