Дата транзакции;Операция;Сумма;Валюта;Дата операции по счету;Комиссия/Money-back;Обороты по счету;Цифровая карта;Категория операции;
04.02.2022 19:19:40;Retail BLR MINSK MOBILE BANK  ;-10,00;BYN;04.02.2022;0,00;-10,00;;Денежные переводы;
04.02.2022 19:18:49;Retail BLR MINSK MOBILE BANK  ;-13,00;BYN;04.02.2022;0,00;-13,00;;Денежные переводы;
04.02.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-1,60;BYN;05.02.2022;0,00;-1,60;;Транспортировка;
04.02.2022 00:00:00;Retail BLR MINSK RBO "BURGER KING"  ;-11,50;BYN;05.02.2022;0,00;-11,50;;Ресторация / бары / кафе;
04.02.2022 00:00:00;Retail BLR MINSK PAV.N 11 TPK "NOVY VEK"  ;-7,20;BYN;05.02.2022;0,00;-7,20;;Ресторация / бары / кафе;
04.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-9,60;BYN;06.02.2022;0,00;-9,60;;Транспорт - Такси;
03.02.2022 00:00:00;Retail BLR MINSK SHOP "EVROOPT"  ;-8,47;BYN;04.02.2022;0,00;-8,47;;Магазины продуктовые;
02.02.2022 00:00:00;Retail BLR MINSK ROSE CAFE  ;-46,60;BYN;04.02.2022;0,00;-46,60;;Ресторация / бары / кафе;
01.02.2022 00:00:00;Retail BLR MINSK SHOP MILA  ;-8,95;BYN;02.02.2022;0,00;-8,95;;Магазины хозтоваров;
01.02.2022 00:00:00;Retail BLR MINSK SHOP "EVROOPT"  ;-7,96;BYN;02.02.2022;0,00;-7,96;;Магазины продуктовые;
01.02.2022 00:00:00;Retail BLR MINSK PT BELFARMATSIYA APTEKA N  ;-18,59;BYN;03.02.2022;0,00;-18,59;;Аптеки;
31.01.2022 19:06:58;Monthly Fee (пакет услуг)  ;0,00;BYN;01.02.2022;-6,00;-6,00;;;
31.01.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-1,60;BYN;01.02.2022;0,00;-1,60;;Транспортировка;
31.01.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-16,04;BYN;01.02.2022;0,00;-16,04;;Транспорт - ЖД билеты;
31.01.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-16,04;BYN;01.02.2022;0,00;-16,04;;Транспорт - ЖД билеты;
30.01.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-19,70;BYN;01.02.2022;0,00;-19,70;;Магазины продуктовые;
30.01.2022 00:00:00;Retail BLR MINSK SHOP "VITALUR"  ;-10,67;BYN;01.02.2022;0,00;-10,67;;Магазины продуктовые;
29.01.2022 00:00:00;Retail BLR MINSK KOFEYNYA ZOLOTOY GREBESHO  ;-10,50;BYN;30.01.2022;0,00;-10,50;;Ресторация / бары / кафе;
28.01.2022 00:00:00;Retail BLR Minsk Kafe Timohin dvor  ;-42,50;BYN;29.01.2022;0,00;-42,50;;Ресторация / бары / кафе;
28.01.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-8,15;BYN;29.01.2022;0,00;-8,15;;Магазины продуктовые;
28.01.2022 00:00:00;Retail BLR MINSK SHOP "TRI TSENY"  ;-1,50;BYN;29.01.2022;0,00;-1,50;;Магазины продуктовые;
28.01.2022 00:00:00;Retail BLR MINSK HYPERMARKET "GREEN" BAPB  ;-2,64;BYN;30.01.2022;0,00;-2,64;;Магазины продуктовые;
27.01.2022 00:00:00;Retail BLR MINSK OOO "RADI BUDUSCHEGO"  ;-22,00;BYN;28.01.2022;0,00;-22,00;;Медицинский сервис;
26.01.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-57,15;BYN;27.01.2022;0,00;-57,15;;Магазины продуктовые;
26.01.2022 00:00:00;Retail BLR MINSK RBO "BURGER KING"  ;-12,40;BYN;27.01.2022;0,00;-12,40;;Ресторация / бары / кафе;
26.01.2022 00:00:00;Retail BLR MINSK ECLAIR DELICIOUS  ;-7,00;BYN;28.01.2022;0,00;-7,00;;Ресторация / бары / кафе;
26.01.2022 00:00:00;Retail BLR MINSK 101 RESTAURANT  ;-52,00;BYN;28.01.2022;0,00;-52,00;;Ресторация / бары / кафе;
26.01.2022 00:00:00;Retail BLR MINSK DOLCHELIUKS BRAND STORE  ;-7,50;BYN;28.01.2022;0,00;-7,50;;Магазины продуктовые;
